# Signals for the addresses in data/addresses.csv, written by scripts/collect.ts.
# Committed on purpose: it is the evidence behind every calibrated number.
# Diversity and cadence are windowed over the last <= 150 transactions.
# funding_class: exchange | mixer | sanctioned | unknown | none. See src/funding.ts
# for where each list came from and what it does and does not prove.
address,label,first_seen,age_days,tx_count,distinct_counterparties,txs_24h,txs_7d,window_size,burst_ratio,funding_class,funding_source,fetched_at,blockscout_url
0xeB94Dd34439e017EBa695678265e44Ea12E16B97,fresh,,0,0,0,0,0,0,,none,,2026-08-16T03:38:06.330Z,https://base.blockscout.com/address/0xeB94Dd34439e017EBa695678265e44Ea12E16B97
0x4829059F90c8E07c20De76a432891cF4f01FE8E3,fresh,,0,0,0,0,0,0,,none,,2026-08-16T03:38:07.570Z,https://base.blockscout.com/address/0x4829059F90c8E07c20De76a432891cF4f01FE8E3
0x62f251E7c4DA635d2D1d1c1Fa87BD861FA8096df,fresh,,0,0,0,0,0,0,,none,,2026-08-16T03:38:08.846Z,https://base.blockscout.com/address/0x62f251E7c4DA635d2D1d1c1Fa87BD861FA8096df
0x2C62aD3DcedcDFe50956845A7a7b68412ec54d6f,fresh,2026-08-15T21:32:09.000Z,0.25,55,6,55,55,55,5,unknown,0x67b6d9517e47d2530b9393b864d8d3ac621f13c5,2026-08-16T03:38:14.769Z,https://base.blockscout.com/address/0x2C62aD3DcedcDFe50956845A7a7b68412ec54d6f
0x1F36602a07b4442d724F1f177D95C2F70AB54507,fresh,2026-08-15T06:35:45.000Z,0.88,319,1,150,150,150,2.67,unknown,0x2cff890f0378a11913b6129b2e97417a2c302680,2026-08-16T03:38:19.567Z,https://base.blockscout.com/address/0x1F36602a07b4442d724F1f177D95C2F70AB54507
0xBEabA203Ef49Ee2828b77b0B7E84839e76092787,fresh,2026-08-14T12:43:05.000Z,1.62,42,7,31,42,42,26,exchange,0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,2026-08-16T03:38:25.850Z,https://base.blockscout.com/address/0xBEabA203Ef49Ee2828b77b0B7E84839e76092787
0x820008AE7521A826CEEC4cCB38D62119a6705e0d,fresh,2026-08-13T18:56:33.000Z,2.36,5,2,4,5,5,,unknown,0x7c558b947df8f9d7707dcd7ee2d98ac0eadddc50,2026-08-16T03:38:31.613Z,https://base.blockscout.com/address/0x820008AE7521A826CEEC4cCB38D62119a6705e0d
0xfb749349C4187aa282b17fAd7965485c54BC9150,fresh,2026-08-12T21:26:35.000Z,3.26,54,5,28,54,54,20.47,unknown,0xde809779e76ca904de8f3678e1119bcc8974c3fe,2026-08-16T03:38:36.804Z,https://base.blockscout.com/address/0xfb749349C4187aa282b17fAd7965485c54BC9150
0xd19E2169Aa2D942978D68aC1316176AE14C360cD,fresh,2026-08-12T17:06:59.000Z,3.44,52,5,26,52,52,33.73,unknown,0xff049e5d58553e8e8682bb35ec436f9826230745,2026-08-16T03:38:42.821Z,https://base.blockscout.com/address/0xd19E2169Aa2D942978D68aC1316176AE14C360cD
0x0B53cc25a96f49e6297B0F6EE5dEe593aDf032cd,fresh,2026-08-11T08:34:29.000Z,4.79,62,9,26,62,62,19.43,exchange,0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,2026-08-16T03:38:49.517Z,https://base.blockscout.com/address/0x0B53cc25a96f49e6297B0F6EE5dEe593aDf032cd
0xE892150B093Ca6a446d7bB0F480dA99b4b8f6c0E,mid,2026-08-03T22:41:59.000Z,12.21,3,1,1,1,3,,unknown,0x01ee8a5c866ecd70b27532de4758a1510ffaa446,2026-08-16T03:38:55.912Z,https://base.blockscout.com/address/0xE892150B093Ca6a446d7bB0F480dA99b4b8f6c0E
0x31C41a6a5805F6B358A756e4A4ED3B04Bc000000,mid,2026-07-31T06:04:21.000Z,15.9,17099,1,150,150,150,1.1,unknown,0xf78b2eda7c1e20ff9906b31fe3612195bce9d6ce,2026-08-16T03:39:03.130Z,https://base.blockscout.com/address/0x31C41a6a5805F6B358A756e4A4ED3B04Bc000000
0x313D333F7D2Ee578825383BCcbB1223eB50f2D56,mid,2026-07-26T05:31:25.000Z,20.92,670788,2,150,150,150,0,exchange,0x8581784d3e598cca3482375cff2409ac9dd8c402,2026-08-16T03:39:09.911Z,https://base.blockscout.com/address/0x313D333F7D2Ee578825383BCcbB1223eB50f2D56
0xBa2A243Dafd26febC7731bc98a25A2cfF12c1589,mid,2026-07-20T22:49:07.000Z,26.2,5,1,1,1,5,,unknown,0x8e4d55e71ce5d850a42985d45d7b7d03983b93a4,2026-08-16T03:39:17.285Z,https://base.blockscout.com/address/0xBa2A243Dafd26febC7731bc98a25A2cfF12c1589
0xe4b783649178b0f6fE3D8BE941e0Ee34Afd53a52,mid,2026-07-13T02:16:01.000Z,34.06,39,8,3,13,39,124,unknown,0x9aab3958250fa0cfe49f6332a858a2801e640254,2026-08-16T03:39:23.803Z,https://base.blockscout.com/address/0xe4b783649178b0f6fE3D8BE941e0Ee34Afd53a52
0x0027f590558f36031C067e89F06c62741a7c81b3,mid,2026-07-08T13:51:59.000Z,38.57,51510,1,150,150,150,17.5,unknown,0xbefa750ed568cc84970eb4fd506af4ff599c42d0,2026-08-16T03:39:32.675Z,https://base.blockscout.com/address/0x0027f590558f36031C067e89F06c62741a7c81b3
0x026766F33847f20d28b325d652eF22567f9Db1bc,mid,2026-06-30T02:03:21.000Z,47.07,12,3,0,0,12,,unknown,0x3abc8e7e9f29129c3d33dcb30bf8ddf41fa23471,2026-08-16T03:39:38.756Z,https://base.blockscout.com/address/0x026766F33847f20d28b325d652eF22567f9Db1bc
